Latitude,Longitude,Time,Id
32.759750000000004,-97.05273000000001,168,route 1,Along route
32.759730000000005,-97.05377000000001,169,route 1,Along route
32.759730000000005,-97.0575,170,route 1,Along route
32.759730000000005,-97.05796000000001,171,route 1,Along route
32.75974,-97.06328,172,route 1,Along route
32.759750000000004,-97.06416,173,route 1,Along route
32.759750000000004,-97.06661000000001,174,route 1,Along route
32.75977,-97.07165,175,route 1,Along route
32.75988,-97.07603,176,route 1,Along route
32.7599,-97.07696000000001,177,route 1,Along route
32.759980000000006,-97.08003000000001,178,route 1,Along route
32.76003,-97.08109,179,route 1,Along route
32.76005,-97.08265,180,route 1,Along route
32.760040000000004,-97.08552,181,route 1,Along route
32.760040000000004,-97.08573000000001,182,route 1,Along route
32.75999,-97.08832000000001,183,route 1,Along route
32.759930000000004,-97.0901,184,route 1,Along route
32.75996,-97.09014,185,route 1,Along route
32.75999,-97.09021000000001,186,route 1,Along route
32.75999,-97.09147,187,route 1,Along route
32.760040000000004,-97.09267000000001,188,route 1,Along route
32.76005,-97.09351000000001,189,route 1,Along route
32.76008,-97.09566000000001,190,route 1,Along route
32.760090000000005,-97.09617000000001,191,route 1,Along route
32.760110000000005,-97.09626,192,route 1,Along route
32.76012,-97.09703,193,route 1,Along route
32.760130000000004,-97.10105000000001,194,route 1,Along route
32.76014,-97.10201,195,route 1,Along route
32.760180000000005,-97.10260000000001,196,route 1,Along route
32.760270000000006,-97.10311,197,route 1,Along route
32.760360000000006,-97.10328000000001,198,route 1,Along route
32.76048,-97.10343,199,route 1,Along route
32.76059,-97.10350000000001,200,route 1,Along route
32.760760000000005,-97.10356,201,route 1,Along route
32.76095,-97.10354000000001,202,route 1,Along route
32.76117,-97.10344,203,route 1,Along route
32.761390000000006,-97.10324000000001,204,route 1,Along route
32.76153,-97.10299,205,route 1,Along route
32.761590000000005,-97.1028,206,route 1,Along route
32.76162,-97.10262,207,route 1,Along route
32.761610000000005,-97.10237000000001,208,route 1,Along route
32.76153,-97.10222,209,route 1,Along route
32.761480000000006,-97.10215000000001,210,route 1,Along route
32.761390000000006,-97.10208000000002,211,route 1,Along route
32.76133,-97.10206000000001,212,route 1,Along route
32.761140000000005,-97.102,213,route 1,Along route
32.76109,-97.10201,214,route 1,Along route
32.76089,-97.10201,215,route 1,Along route
32.76037,-97.102,216,route 1,Along route
32.760130000000004,-97.10199000000001,217,route 1,Along route
32.759930000000004,-97.102,218,route 1,Along route
32.75938,-97.102,219,route 1,Along route
